day,new_accounts,anonymous_percentage,total_messages,topic_growth_percentage
2025-04-01,0,70.0,10,0
2025-04-02,0,50.0,10,0
2025-04-03,2,41.66666666666667,12,0
2025-04-04,0,50.0,8,0
2025-04-05,1,60.0,10,0
2025-04-06,0,66.66666666666666,9,0
2025-04-07,0,14.285714285714285,7,0
2025-04-08,0,50.0,12,-100.0
2025-04-09,0,45.45454545454545,11,0
2025-04-10,0,33.33333333333333,12,-50.0
2025-04-11,0,42.857142857142854,7,200.0
2025-04-12,0,33.33333333333333,12,-100.0
2025-04-13,0,70.0,10,0
2025-04-14,0,42.857142857142854,14,0
2025-04-15,0,58.333333333333336,12,0
2025-04-16,0,70.0,10,0
2025-04-17,0,80.0,10,0
2025-04-18,1,71.42857142857143,14,0
2025-04-19,0,71.42857142857143,7,0
2025-04-20,2,45.45454545454545,11,-100.0
2025-04-21,0,40.0,10,0
2025-04-22,1,70.0,10,0
2025-04-23,0,58.333333333333336,12,0
2025-04-24,0,50.0,8,0
2025-04-25,0,55.55555555555556,9,0
2025-04-26,0,62.5,8,0
2025-04-27,0,58.333333333333336,12,0
2025-04-28,2,69.23076923076923,13,0
2025-04-29,0,60.0,10,0
2025-04-30,0,60.0,15,-100.0
